question,faithfulness_PDF,faithfulness_MD,faithfulness_winner,answer_relevancy_PDF,answer_relevancy_MD,answer_relevancy_winner,context_precision_PDF,context_precision_MD,context_precision_winner,context_recall_PDF,context_recall_MD,context_recall_winner
标准中对于电位均衡要求，外露可导电部分与电平台间的连接阻抗应不大于多少？,1.0,1.0,=,0.7827703274317107,0.7299351913729372,PDF,0.19999999998,0.9999999999,MD,1.0,1.0,=
对于M2类、M3类车辆，标准中关于防水要求是如何规定的？,1.0,1.0,=,0.9377811834614628,0.6983939603519939,PDF,0.9999999999,0.699999999965,PDF,1.0,1.0,=
在充电口绝缘电阻测试中，测试设备的检测电压应如何设置？,1.0,0.8,PDF,0.917775224310907,0.0,PDF,0.8333333332916666,0.0,PDF,1.0,0.0,PDF
在绝缘监测功能验证试验中，若最小绝缘电阻要求为100Ω/V，可调节电阻器的目标阻值Rx应满足什么条件？,1.0,1.0,=,0.9185169543119088,0.7637811230949848,PDF,0.49999999995,0.99999999995,MD,1.0,1.0,=
在整车底部防护验证试验中，车辆应以什么速度驶过壁障？,1.0,1.0,=,0.6368401965214233,0.952896945021326,MD,0.9999999999,0.3333333333,PDF,1.0,1.0,=
《乘用车后碰撞安全要求》标准中，碰撞试验后，如果燃油供给系统出现液体连续泄漏，在碰撞后前5分钟的平均泄漏速度应不大于多少？,0.5,1.0,MD,0.8896576325665917,0.949102964173648,MD,0.9999999999,0.8333333332916666,PDF,1.0,1.0,=
根据《乘用车后碰撞安全要求》，移动壁障的碰撞试验速度是多少，且该速度至少在碰撞接触前多少米内保持稳定？,1.0,1.0,=,0.7929876539574195,0.831592314198062,MD,0.699999999965,0.9999999999,MD,1.0,1.0,=
对于已获得型式批准的车型，根据《乘用车后碰撞安全要求》标准，自本文件实施之日起第几个月开始执行？,1.0,0.6666666666666666,PDF,0.0,0.8122354276484115,MD,0.9999999999666668,0.19999999998,PDF,1.0,1.0,=
《汽车对行人的碰撞保护》标准中，发动机罩后面基准线是如何定义的？,0.8333333333333334,1.0,MD,0.8098852808140489,0.8627499422308317,MD,0.3333333333,0.49999999995,MD,1.0,1.0,=
根据标准，哪些类型的车辆不适用于《汽车对行人的碰撞保护》？,1.0,0.6666666666666666,PDF,0.954245236571213,0.960226307592158,MD,0.9999999999,0.3333333333,PDF,1.0,1.0,=
在标准中，成人头型发动机罩上部试验区域的前边界是如何确定的？,1.0,0.75,PDF,0.9299047444800572,0.824471751131551,PDF,0.9999999999,0.9999999999,=,1.0,1.0,=
保险杠下部基准线（LBRL）的定义是什么？,1.0,1.0,=,0.983635082681696,0.9806724867657828,PDF,0.9999999999,0.99999999995,MD,1.0,1.0,=
保险杠下部高度小于多少毫米的车辆必须符合下腿型试验要求？,0.5,1.0,MD,0.8943361204136665,0.8165167678692086,PDF,0.699999999965,0.9999999999,MD,1.0,1.0,=
在头型试验中，头部伤害指标（HIC）的计算公式中，时间间隔 t2-t1 的最大允许值是多少？,1.0,1.0,=,0.7364656405325465,0.8515917310902935,MD,0.99999999995,0.5833333333041666,PDF,1.0,1.0,=
下腿型冲击器的小腿和大腿分别应安装多少个弯矩传感器？,1.0,1.0,=,0.8960653488727485,0.9495183953005504,MD,0.9999999999,0.3333333333,PDF,1.0,1.0,=
下腿型冲击器动态标定按照什么次序循环标定？每次动态标定后最多可进行多少次冲击试验？,1.0,1.0,=,0.934353797864781,0.998560640764454,MD,0.249999999975,0.49999999995,MD,1.0,1.0,=
儿童头型冲击器的第一固有频率应满足什么要求？,1.0,1.0,=,0.9842337388075232,0.9954205481749372,MD,0.8333333332916666,0.8333333332916666,=,1.0,1.0,=
本标准（GB 27887—2024）的发布日期和实施日期分别是什么？,1.0,0.2,PDF,0.0,0.8290319975744135,MD,0.0,0.0,=,0.0,0.0,=
根据标准，什么是儿童约束系统（CRS）？,1.0,1.0,=,0.8159864682843154,0.9199173309789148,MD,0.9999999999,0.49999999995,PDF,0.0,1.0,MD
本标准适用于哪些类型的儿童乘员用约束系统？请至少列出三种。,1.0,1.0,=,0.8637024745434368,0.8315502503898132,PDF,0.7555555555303703,0.499999999975,PDF,1.0,1.0,=
根据标准文档，ISOFIX 下固定点的具体结构特征是什么？,1.0,1.0,=,0.8800870230380714,0.8410095140219295,PDF,0.9999999999,0.9999999999,=,1.0,1.0,=
在标准文档中，封闭式带扣解锁按钮和非封闭式带扣解锁按钮的区别是什么？,1.0,1.0,=,0.7925896513988012,0.8085568363909764,MD,0.3333333333,0.49999999995,MD,1.0,1.0,=
根据标准文档，i-Size 增高椅和通用增高垫在车辆上的安装位置有何规定？,1.0,1.0,=,0.9295679060357256,0.935796599142258,MD,0.7499999999625,0.8333333332916666,MD,1.0,1.0,=
前向和后向 i-Size 儿童约束系统应通过哪些装置安装？,0.5,1.0,MD,0.6884908364788928,0.8930098956442495,MD,0.49999999995,0.19999999998,PDF,0.0,0.0,=
动态试验时，用于将儿童约束系统固定在标准座椅上的标准安全带，其张紧力应为多少？,1.0,1.0,=,0.8528995225450918,0.9955115903992569,MD,0.7555555555303703,0.8874999999778125,MD,1.0,1.0,=
非整体式儿童约束系统中，增高垫不适用于身高小于多少厘米的儿童？,1.0,1.0,=,0.7979067884284762,0.852386035689268,MD,0.0,0.0,=,0.0,0.0,=
电动汽车用动力蓄电池安全要求标准中，电池单体进行快充循环后安全试验后，应满足什么要求？,0.7142857142857143,0.6666666666666666,PDF,0.0,0.0,=,0.0,0.0,=,0.0,0.0,=
根据标准，电池包或系统在进行振动试验后，其绝缘电阻应满足什么条件？若有交流电路呢？,1.0,1.0,=,0.0,0.8189084873100096,MD,0.0,0.49999999995,MD,0.0,1.0,MD
标准中如何定义“热失控”和“热扩散”？,0.8333333333333334,1.0,MD,0.0,0.0,=,0.0,0.0,=,0.0,0.0,=
根据标准文档，电池包或系统在进行温度冲击试验后，若无交流电路，其绝缘电阻应不小于多少？,1.0,1.0,=,0.0,0.9999999999997184,MD,0.0,0.249999999975,MD,0.0,1.0,MD
标准文档中规定，电池单体进行外部短路试验时，外部线路电阻应小于多少？,1.0,0.5,PDF,0.0,0.0,=,0.0,0.0,=,0.0,0.0,=
在电池包或系统预处理循环中，如果连续几次的放电容量变化不高于额定容量的3%，则认为预处理完成？,1.0,0.6666666666666666,PDF,0.7398471309236311,0.8721573504139305,MD,0.99999999995,0.499999999975,PDF,1.0,1.0,=
根据表3，M1类、N1类车辆电池包或系统在随机振动测试中，z轴在5Hz频率下的PSD值是多少？,1.0,1.0,=,0.9991407505174302,0.0,PDF,0.9999999999,0.49999999995,PDF,1.0,0.0,PDF
机械冲击试验中，对试验对象施加的半正弦冲击波，其加速度值和脉冲时间分别是多少？,1.0,1.0,=,0.6795076086681293,0.7093204831823209,MD,0.249999999975,0.9999999999,MD,1.0,1.0,=
挤压试验中，当试验对象为带车身结构件进行挤压时，截止条件是什么？,1.0,0.6666666666666666,PDF,0.0,0.9964821483199158,MD,0.0,0.9999999999,MD,0.0,1.0,MD
车载事故紧急呼叫系统（AECS）标准中，对于MSD发送失败后的重试机制是如何规定的？,1.0,0.75,PDF,0.0,0.6953019186178366,MD,0.0,0.3333333333,MD,0.0,1.0,MD
根据标准，对于已获得型式批准的M1类车辆，自本文件实施之日起第几个月开始执行车载事故紧急呼叫系统的要求？,0.6666666666666666,0.8,MD,0.8891821625679941,0.8737379488366556,PDF,0.4499999999775,0.32499999998375,PDF,1.0,1.0,=
标准中对于AECS的备用电源（若有）的供电能力有何具体要求？,0.5,0.5,=,0.0,0.0,=,0.0,0.0,=,0.0,0.0,=
在AECS触发后，MSD中的“标识符”字段的计数规则是什么？,1.0,1.0,=,0.7888025062224586,0.7684322038006365,PDF,0.99999999995,0.3333333333,PDF,1.0,1.0,=
在滑台正面碰撞试验中，当采用标准加速度通道进行试验时，速度变化量Δv的允许范围是多少？,,1.0,=,0.95433421703931,0.9988407231668224,MD,0.0,0.0,=,0.0,0.0,=
在实车侧面碰撞试验中，试验速度应满足什么条件？,1.0,0.75,PDF,0.9016919948080604,0.0,PDF,0.3333333333,0.0,PDF,1.0,0.0,PDF
在实车后面碰撞试验中，应按照哪个标准规定的试验方法进行试验？,1.0,1.0,=,0.8702749006857514,0.0,PDF,0.0,0.7499999999625,MD,0.0,1.0,MD
模拟翻滚试验中，翻转试验台架初始状态应为？积分角位移应为多少度？,1.0,1.0,=,0.918998222663962,0.0,PDF,0.9999999999,0.0,PDF,1.0,0.0,PDF
在耐冲击性试验中，速度变化量 Δv 应为多少？,1.0,1.0,=,0.936122402167125,0.7025896120112948,PDF,0.0,0.3333333333,MD,0.0,0.0,=
《智能网联汽车 组合驾驶辅助系统安全要求》标准中，领航组合驾驶辅助系统的定义是什么？,1.0,1.0,=,0.0,0.7472313965115026,MD,0.0,0.19999999998,MD,0.0,1.0,MD
根据标准，组合驾驶辅助系统分为哪几个系统类别？,1.0,1.0,=,0.9940370162392956,0.9910555243590652,PDF,0.94999999997625,0.99999999995,MD,1.0,1.0,=
标准中定义的“换道过程”的起始和结束标志是什么？,0.3333333333333333,1.0,MD,0.9642511122789572,0.9246424954320795,PDF,0.19999999998,0.9999999999,MD,1.0,1.0,=
根据标准文档，急迫的碰撞风险（risk of imminent collision）是如何定义的？,1.0,0.8571428571428571,PDF,0.0,0.9819094597110464,MD,0.0,0.0,=,0.0,0.0,=
在A类道路环境下，系统处于激活状态时，驾驶员可设置的最高车速应满足什么要求？,1.0,0.75,PDF,0.8855811704778646,0.8999523044487492,MD,0.249999999975,0.249999999975,=,1.0,1.0,=
根据标准文档，组合驾驶辅助数据记录系统（DSSCDA）的定义是什么？,1.0,1.0,=,0.927338392993822,0.9096595142316172,PDF,0.9999999999,0.9999999999,=,1.0,1.0,=
根据标准文档，对于M1类汽车，在系统激活状态下，车辆横向加速度的限值是多少？,1.0,0.8,PDF,0.9531654522428986,0.9938244706203836,MD,0.8333333332916666,0.94999999997625,MD,1.0,1.0,=
在换道控制功能中，系统在进入换道执行阶段前，对后向距离的评估要求中，当系统探测到目标车道没有后向接近车辆时，后向接近车辆的行驶速度假设为多少？,1.0,1.0,=,0.7384112939920922,0.8029230281399494,MD,0.699999999965,0.9999999999,MD,1.0,1.0,=
根据标准文档，风险减缓功能（RMF）在控制介入过程中，除为避免碰撞风险外，车辆减速度应不大于多少？,0.0,1.0,MD,0.8813091538924249,0.9620667166617216,MD,0.49999999995,0.49999999995,=,1.0,1.0,=
本标准适用于哪些类型的汽车车门把手？,1.0,1.0,=,0.9616031329365096,0.9512385127878148,PDF,0.249999999975,0.99999999995,MD,1.0,1.0,=
根据标准，车门外把手强度试验中施加的力应不小于多少牛，且至少保持多长时间？,1.0,1.0,=,0.8820971276571706,0.8297428990348386,PDF,0.3333333333,0.249999999975,PDF,1.0,1.0,=
对于新申请型式批准的车型，标准中4.1.1.3条的要求自何时开始执行？,1.0,0.4,PDF,0.9610729577316528,0.0,PDF,0.32499999998375,0.0,PDF,1.0,0.0,PDF
根据附录B，外掀式车门外把手强度试验的加载位置是如何定义的？,1.0,1.0,=,0.913039838391048,0.8411924201038442,PDF,0.9999999999,0.7555555555303703,PDF,1.0,1.0,=
直柄式车门内把手强度试验的加载位置距离把手边缘多少毫米？,0.3333333333333333,0.0,PDF,0.8645775059323336,0.974251742582087,MD,0.19999999998,0.249999999975,MD,1.0,1.0,=
翻盖式车门内把手强度试验的加载位置距离把手边缘多少毫米？,0.75,1.0,MD,0.8704828844431494,0.876697805551682,MD,0.4499999999775,0.19999999998,PDF,1.0,1.0,=
本标准（GB 7258-2017）的发布日期和实施日期分别是什么？,1.0,0.8333333333333334,PDF,0.0,0.0,=,0.0,0.0,=,0.0,0.0,=
根据本标准，未设置乘客站立区的客车的核定乘员数应满足什么要求？,1.0,1.0,=,0.9437906743215526,0.9295681583346797,PDF,0.3333333333,0.8333333332916666,MD,1.0,1.0,=
本标准对总质量大于或等于12000kg的危险货物运输货车在制动系统方面增加了什么要求？,1.0,1.0,=,0.9220379995226772,0.9222010044003534,MD,0.19999999998,0.0,PDF,1.0,0.0,PDF
根据GB 7258标准，总质量大于或等于多少千克的货车应装备车辆右转弯音响提示装置？,1.0,1.0,=,0.8854954961714109,0.8988283443186152,MD,0.99999999995,0.9999999999,PDF,1.0,1.0,=
GB 7258标准中，对车身外部设有广告屏（箱）的汽车和挂车在车辆行驶状态下的使用要求是什么？,1.0,0.0,PDF,0.9198716240398652,0.9129714945684254,PDF,0.99999999995,0.9999999999,PDF,1.0,1.0,=
根据GB 7258标准，哪些类型的车辆应装备事件数据记录系统（EDR）或车载视频行驶记录装置？,0.8,,=,0.7634144281192309,0.8012556380586185,MD,0.9999999999666668,0.9166666666361112,PDF,1.0,1.0,=
根据标准文档，什么是“设有乘客站立区的客车”？其最大设计车速有何限制？,1.0,1.0,=,0.0,0.9111165584369512,MD,0.0,0.49999999995,MD,0.0,1.0,MD
在标准文档中，中置轴挂车作用于牵引车的垂直静载荷有何具体限制？,1.0,1.0,=,0.8495807043922331,0.8956583475433938,MD,0.3333333333,0.49999999995,MD,1.0,1.0,=
根据标准文档，机动车产品标牌应至少标明哪些内容？如果采用标签标示，需符合什么标准？,1.0,0.75,PDF,0.9173260642436016,0.0,PDF,0.49999999995,0.9999999999,MD,1.0,0.5,PDF
《电动汽车换电安全要求 第2部分: 商用车辆》的发布日期和实施日期分别是什么？,1.0,1.0,=,0.5916578779140913,0.9928971822027344,MD,0.9999999999,0.9999999999,=,1.0,1.0,=
根据标准，一个完整的换电过程所需时间一般不超过多少分钟？,1.0,1.0,=,0.9664119524542616,0.96297897848168,PDF,0.9999999999,0.9999999999,=,1.0,1.0,=
在换电操作试验中，换电冷却接口在分离和连接时有何要求？冷却剂平均泄漏量不应超过多少？,0.5,1.0,MD,0.0,0.0,=,0.0,0.0,=,0.0,0.0,=
根据标准文档，N1类车辆在模拟涉水试验中应在多深的水池中以什么速度行驶不少于多少米？,0.25,1.0,MD,0.0,0.8174040742596708,MD,0.0,0.49999999995,MD,0.0,1.0,MD
在换电电池系统安装强度静态试验中，施力方向为哪些方向，施力大小为换电电池系统整体质量的多少倍？,1.0,1.0,=,0.8353543608252553,0.9173560387775198,MD,0.9999999999,0.9999999999,=,1.0,1.0,=
根据标准文档，N2类和N3类后背式换电车辆的车载换电系统在振动试验中，每个方向的测试时间是多少小时？,1.0,0.6666666666666666,PDF,0.9340517623435242,0.0,PDF,0.9999999999,0.0,PDF,1.0,0.0,PDF
根据标准，液冷系统在冷却性能试验中的最大温差要求是多少？,1.0,1.0,=,0.0,0.0,=,0.0,0.0,=,0.0,0.0,=
标准中规定，测试目标环境温度改变时，试验样品完成环境适应的条件是什么？,1.0,1.0,=,0.9301592243427512,0.0,PDF,0.9999999999,0.0,PDF,1.0,0.0,PDF
加热性能试验中，无充放电加热性能试验在什么环境温度下进行？,1.0,1.0,=,0.9574135226391686,0.9302921965519292,PDF,0.3333333333,0.19999999998,PDF,1.0,1.0,=
根据标准文档，低温慢充加热性能试验中，试验开始前应将SOC调整至多少？,1.0,1.0,=,0.9473558844016112,0.9498965484882872,MD,0.8333333332916666,0.5833333333041666,PDF,1.0,1.0,=
在低温环境保温性能试验中，环境温度应以何种速率降至-20°C或制造商规定的更低温度？,1.0,1.0,=,0.852967688212737,0.7610044895074891,PDF,0.49999999995,0.9999999999,MD,1.0,1.0,=
根据附录A，对于电压高于多少伏特（直流）的电池包，宜包括手动切断功能？,1.0,0.5,PDF,0.8205410877804838,0.7612141383794784,PDF,0.8333333332916666,0.4499999999775,PDF,1.0,1.0,=
QC/T 1206《电动汽车动力蓄电池热管理系统》第2部分液冷系统的发布日期和实施日期分别是什么？,1.0,1.0,=,0.9278956926351948,0.93013535231107,MD,0.249999999975,0.9999999999,MD,1.0,1.0,=
液冷系统密封性试验中，干检的泄漏量要求是多少？,1.0,0.6666666666666666,PDF,0.9999999999997092,0.0,PDF,0.499999999975,0.0,PDF,1.0,0.0,PDF
液冷系统耐压试验中，向液冷系统内部持续通入的气体压力应大于或等于多少，并浸入水中静置观察多长时间？,1.0,0.4,PDF,0.7873955806360838,0.7262203049915611,PDF,0.9999999999,0.0,PDF,1.0,0.0,PDF
压力交变试验中，冷却液的压力循环范围是多少？循环周期和保压时间分别是多少？,1.0,1.0,=,0.9603215145302372,0.963471257534388,MD,0.49999999995,0.9999999999,MD,1.0,1.0,=
多次插拔试验中，接头需在80°C条件下放置多久，并通入多大压力的空气？,1.0,1.0,=,0.6563190198644157,0.8494776616662728,MD,0.49999999995,0.9999999999,MD,1.0,1.0,=
型式检验中，若有一项检验项目不合格，应如何判定？,1.0,1.0,=,0.9759008182843848,0.9653681762364212,PDF,0.9999999999,0.9999999999,=,1.0,1.0,=
汽车防夹系统标准中，车窗防夹力应不大于多少牛？,1.0,1.0,=,0.9124209244082696,0.8850556738251516,PDF,0.9999999999,0.99999999995,MD,1.0,1.0,=
汽车防夹系统标准中，滑移门在关闭过程中和开启过程中的防夹力分别应不大于多少？,0.875,1.0,MD,0.0,0.8609977196741742,MD,0.0,0.3333333333,MD,0.0,1.0,MD
汽车防夹系统标准中，背门防夹系统在防夹条区域和底部区域的防夹力分别应不大于多少？,1.0,1.0,=,0.8726314386026958,0.909156240379596,MD,0.49999999995,0.249999999975,PDF,1.0,1.0,=
在背门底部无防夹条区域的关闭测试中，使用的圆柱形橡胶块的刚度是多少？,1.0,1.0,=,0.709823968169423,0.998647513387014,MD,0.8874999999778125,0.9166666666361112,MD,1.0,1.0,=
背门底部无防夹条区域开启测试时，背门从什么位置开始自动开启？,1.0,1.0,=,0.7674026830624566,0.7260029123283571,PDF,0.5333333333155555,0.7499999999625,MD,1.0,1.0,=
防夹力试验中，每个测试点测试几次，最终测试结果如何确定？,1.0,1.0,=,0.7492601906506701,0.7532603005951163,MD,0.3333333333,0.9999999999666668,MD,1.0,1.0,=
乘用车外部防护标准中，防撞梁有效重合尺寸应不小于多少毫米？若小于该值，防撞梁有效高度应不小于多少毫米？,0.4285714285714285,0.6666666666666666,MD,0.0,0.0,=,0.0,0.0,=,0.0,0.0,=
在保险杠动态试验中，正面保险杠动态试验的保险杠壁障离地高度和车辆撞击速度分别是多少？,1.0,1.0,=,0.957221882180952,0.9854471981799966,MD,0.249999999975,0.3333333333,MD,1.0,1.0,=
根据标准，车辆宽度是如何定义的？,1.0,0.25,PDF,0.0,0.0,=,0.0,0.0,=,0.0,0.0,=
正面低速碰撞试验中，刚性壁障前端面与测试车辆横向垂面的夹角应为多少？,1.0,1.0,=,0.0,0.999999999999757,MD,0.0,0.699999999965,MD,0.0,1.0,MD
后面低速碰撞试验中，移动壁障的质量要求是多少？,1.0,1.0,=,0.9736139975003376,0.8307219979087462,PDF,0.49999999995,0.3333333333,PDF,1.0,1.0,=
能量吸收器在垂直加载压溃工况下，刚性压溃面板的加载速度是多少？,1.0,1.0,=,0.8460482346869783,0.9141103151191782,MD,0.49999999995,0.3333333333,PDF,1.0,1.0,=
